,Regio,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,latitude,longitude
123,Cuijk,95679.0,94987.0,114186.0,119821.0,144730.0,179030.0,183579.0,201601.0,204440.0,219033.0,207321.0,246616.0,244668.0,255307.0,240389.0,232083.0,239805.0,216893.0,192967.0,186508.0,200141.0,206252.0,220711.0,253265.0,281980.0,287731.0,326136.0,51.729939,5.8800458
124,Culemborg,104461.0,116903.0,125367.0,136164.0,158315.0,174145.0,196795.0,212937.0,210503.0,216020.0,229631.0,236487.0,258340.0,256852.0,251523.0,253712.0,255121.0,246017.0,222451.0,229069.0,233311.0,221135.0,242697.0,264549.0,299647.0,319641.0,385595.0,51.94933145,5.209215183621777
126,Dalfsen,117029.0,128331.0,146641.0,151750.0,163577.0,193233.0,230321.0,225394.0,236780.0,250168.0,239137.0,256939.0,277665.0,276697.0,260821.0,239302.0,231795.0,227427.0,227766.0,237096.0,234903.0,254193.0,260435.0,294259.0,303668.0,344270.0,393372.0,52.51178365,6.256636721854065
128,Dantumadiel,,,,,,,,,,,,,,,202182.0,207530.0,205102.0,179117.0,175049.0,179396.0,187644.0,206037.0,209322.0,225605.0,234227.0,257872.0,290598.0,53.27651665,5.967811226529737
129,De Bilt,158006.0,162546.0,178588.0,210447.0,277310.0,325145.0,338232.0,347508.0,357250.0,364728.0,395246.0,379176.0,419979.0,436729.0,396846.0,432827.0,463235.0,401758.0,358334.0,346539.0,374060.0,384837.0,454080.0,468290.0,481411.0,540361.0,634801.0,52.1445592,5.173777333788463
130,De Friese Meren,,,,,,,,,,,,,,,,,,,,202847.0,203762.0,,,,,,,52.9597686,5.9320827
131,De Fryske Marren,,,,,,,,,,,,,,,,,,,,,207262.0,219532.0,231668.0,252787.0,268780.0,311910.0,344437.0,52.9118448,5.713876378916552
132,De Lier,105846.0,112799.0,127472.0,129625.0,144236.0,170330.0,191075.0,235836.0,233082.0,,,,,,,,,,,,,,,,,,,51.9751843,4.2471322
133,De Marne,63190.0,58854.0,67625.0,66360.0,79870.0,91475.0,104794.0,116957.0,128543.0,141727.0,149387.0,159167.0,156342.0,177845.0,155480.0,143059.0,136878.0,137535.0,133135.0,138148.0,137543.0,137381.0,152106.0,155125.0,,,,53.0735331,5.4800743
134,De Ronde Venen,128337.0,138551.0,145768.0,174772.0,188053.0,230603.0,264300.0,286883.0,273359.0,267510.0,301512.0,291679.0,329441.0,330902.0,324658.0,311344.0,340511.0,300158.0,293780.0,286056.0,306421.0,340835.0,359267.0,412574.0,444854.0,503591.0,516798.0,52.2325145,4.920240947843794
135,De Wijk,78503.0,95417.0,114824.0,,,,,,,,,,,,,,,,,,,,,,,,,52.6720692,6.2886911
136,De Wolden,,,,139617.0,165351.0,211459.0,225230.0,210229.0,227901.0,232101.0,241658.0,260970.0,267482.0,272623.0,242113.0,247199.0,244582.0,236593.0,230198.0,224677.0,222732.0,242611.0,244587.0,278786.0,290754.0,319927.0,390775.0,52.705585049999996,6.338952403673677
137,Delft,79928.0,91805.0,99841.0,110289.0,121592.0,145867.0,162822.0,184625.0,190841.0,189476.0,198283.0,214069.0,223556.0,238041.0,221021.0,225757.0,229994.0,212589.0,208528.0,212725.0,211971.0,224039.0,250075.0,282851.0,311299.0,339921.0,395478.0,51.999457199999995,4.362724538543995
138,Delfzijl,61842.0,62973.0,73437.0,69550.0,78474.0,92073.0,96377.0,113476.0,112657.0,126393.0,134929.0,141315.0,150673.0,153332.0,138547.0,141921.0,143982.0,137535.0,132658.0,123452.0,130887.0,132086.0,140643.0,142173.0,155120.0,177054.0,,53.3325644,6.9135144
139,Den Dungen,118903.0,,,,,,,,,,,,,,,,,,,,,,,,,,,51.6656003,5.3712805
140,Den Ham,77580.0,79321.0,108685.0,117227.0,126654.0,172147.0,,,,,,,,,,,,,,,,,,,,,,53.2738959,6.4271387
141,Den Helder,60839.0,68684.0,74236.0,85077.0,98169.0,109144.0,120535.0,137003.0,147533.0,149532.0,155514.0,156141.0,171729.0,167083.0,153504.0,150061.0,154743.0,148083.0,147097.0,146522.0,151360.0,157687.0,161280.0,162600.0,175079.0,195946.0,225902.0,52.9529894,4.8267592494488
142,Denekamp,92273.0,109452.0,115574.0,120612.0,162481.0,172093.0,216074.0,213022.0,,,,,,,,,,,,,,,,,,,,52.3746713,7.0055192
143,Deurne,109419.0,130665.0,152479.0,163456.0,202888.0,229485.0,230186.0,232351.0,241205.0,234874.0,257527.0,287285.0,291060.0,322813.0,306662.0,282437.0,276036.0,262824.0,243753.0,217151.0,237365.0,261610.0,288606.0,286500.0,298007.0,339761.0,375140.0,51.4281834,5.828106871124028
144,Deventer,70509.0,79072.0,87390.0,96038.0,118588.0,147520.0,166067.0,172561.0,184536.0,184453.0,192965.0,200673.0,210984.0,211700.0,206932.0,205165.0,214811.0,203303.0,180761.0,196528.0,194410.0,207765.0,226791.0,248134.0,264234.0,288511.0,343585.0,52.2695736,6.236339604766698
145,Didam,105758.0,123680.0,145273.0,154216.0,200062.0,212191.0,208776.0,238671.0,239666.0,251797.0,,,,,,,,,,,,,,,,,,51.937228,6.1275981
146,Diemen,106592.0,106523.0,122344.0,147599.0,168464.0,187605.0,206612.0,201666.0,210393.0,190891.0,216316.0,217613.0,255076.0,244920.0,237515.0,232877.0,230279.0,216781.0,216849.0,228815.0,182173.0,203591.0,242589.0,343525.0,389213.0,414599.0,465713.0,52.3350493,4.984282926187014
147,Diepenheim,88696.0,125302.0,110586.0,162728.0,197203.0,171241.0,,,,,,,,,,,,,,,,,,,,,,52.1992824,6.5550104
148,Diepenveen,126479.0,136120.0,127192.0,136639.0,,,,,,,,,,,,,,,,,,,,,,,,52.2881152,6.1459232
149,Diessen,121639.0,150406.0,,,,,,,,,,,,,,,,,,,,,,,,,,51.4762167,5.1751483
150,Diever,93724.0,108028.0,115902.0,,,,,,,,,,,,,,,,,,,,,,,,,52.8546576,6.3182659
151,Dinkelland,,,,,,,,227114.0,241098.0,236101.0,239611.0,251468.0,249947.0,291662.0,249448.0,247427.0,245888.0,226679.0,207617.0,230390.0,219021.0,238500.0,252296.0,257647.0,279197.0,315526.0,343759.0,52.371448799999996,6.915066619316923
153,Dinxperlo,92546.0,100598.0,116377.0,127319.0,151307.0,173874.0,169721.0,189598.0,215696.0,215432.0,,,,,,,,,,,,,,,,,,51.8638164,6.4878712
154,Dirksland,74620.0,88778.0,90678.0,95677.0,114487.0,123657.0,154867.0,176623.0,181678.0,186759.0,224250.0,224076.0,214803.0,218358.0,249527.0,189120.0,179615.0,165943.0,,,,,,,,,,51.7480552,4.0997407
155,Dodewaard,114554.0,116899.0,137459.0,166504.0,181153.0,194833.0,250803.0,,,,,,,,,,,,,,,,,,,,,51.9140052,5.6569388
156,Doesburg,95587.0,90232.0,126319.0,138894.0,146261.0,166228.0,198090.0,215891.0,216248.0,207742.0,239278.0,227883.0,233155.0,244104.0,232849.0,230851.0,254440.0,222345.0,187533.0,202903.0,233048.0,230431.0,246640.0,248587.0,256299.0,284787.0,347257.0,52.018750499999996,6.151558274308546
157,Doetinchem,107795.0,98848.0,115878.0,126803.0,138755.0,153495.0,180991.0,195394.0,201915.0,205284.0,210762.0,224141.0,237968.0,239108.0,229711.0,228798.0,225993.0,215306.0,209660.0,200148.0,210292.0,208543.0,226634.0,242343.0,256356.0,292285.0,331854.0,51.958534799999995,6.281455126241391
158,Domburg,117175.0,120840.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.7126475,-55.11306350518298
159,Dongen,104406.0,107383.0,121248.0,136209.0,153503.0,167237.0,218460.0,219766.0,238825.0,243004.0,247593.0,248336.0,267052.0,273555.0,265001.0,229702.0,224541.0,209924.0,201995.0,213406.0,231385.0,242023.0,248826.0,284523.0,289661.0,303641.0,355002.0,51.6428928,4.957877019933202
160,Dongeradeel,59817.0,59434.0,67442.0,76496.0,87495.0,99775.0,120181.0,136315.0,145025.0,153029.0,158108.0,169446.0,174326.0,178035.0,168934.0,178861.0,164717.0,163037.0,155035.0,153324.0,161799.0,165522.0,181244.0,186735.0,,,,53.3823109,5.9702143
161,Doorn,133545.0,172878.0,167034.0,193915.0,240827.0,268353.0,320871.0,310748.0,309881.0,332027.0,357203.0,,,,,,,,,,,,,,,,,52.0333163,5.3455956
162,Dordrecht,72146.0,83851.0,92102.0,102507.0,114409.0,129720.0,141015.0,154281.0,158382.0,165820.0,174450.0,186576.0,189879.0,200833.0,186561.0,188588.0,183434.0,180984.0,167211.0,178188.0,185369.0,184287.0,200733.0,218882.0,237053.0,258874.0,299241.0,51.7958812,4.6779351
163,Drechterland,93879.0,98274.0,100970.0,129484.0,149393.0,197524.0,205231.0,214164.0,203461.0,218827.0,223128.0,265374.0,250898.0,260705.0,256784.0,255550.0,228525.0,226507.0,204280.0,209928.0,234680.0,235351.0,267955.0,282309.0,316459.0,337315.0,390248.0,52.65570515,5.185359460663441
165,Driebergen-Rijsenburg,131649.0,142905.0,186353.0,207215.0,240399.0,301825.0,288838.0,300991.0,295870.0,340828.0,368330.0,,,,,,,,,,,,,,,,,52.0516547,5.2836332
166,Drimmelen,,,,148910.0,174635.0,196105.0,216817.0,238355.0,235031.0,249303.0,245494.0,268677.0,288307.0,301120.0,261498.0,257163.0,261777.0,244737.0,219071.0,227566.0,234528.0,244228.0,273581.0,279697.0,289554.0,300345.0,372230.0,51.69768865,4.743934177567655
167,Dronten,110116.0,114740.0,114127.0,125371.0,145569.0,218373.0,174264.0,206154.0,214569.0,220890.0,221999.0,230807.0,230743.0,247425.0,227981.0,220287.0,228284.0,215203.0,195161.0,197724.0,212987.0,215670.0,230916.0,240688.0,255563.0,288202.0,328945.0,52.531389649999994,5.750631211201343
168,Drunen,103433.0,101841.0,,,,,,,,,,,,,,,,,,,,,,,,,,51.6862832,5.130986
169,Druten,93913.0,110885.0,124286.0,143709.0,143408.0,187389.0,211038.0,218753.0,234732.0,242409.0,260043.0,253180.0,284809.0,283611.0,254817.0,239340.0,268145.0,221112.0,217721.0,215454.0,228096.0,218829.0,251976.0,265559.0,285068.0,310627.0,368074.0,51.88473605,5.600426583452027
170,Duiveland,77745.0,84788.0,,,,,,,,,,,,,,,,,,,,,,,,,,52.34818,4.65134
171,Duiven,93567.0,107814.0,119775.0,136679.0,151413.0,176307.0,198998.0,206235.0,210460.0,220199.0,225399.0,236818.0,230654.0,237374.0,220802.0,230024.0,212817.0,204080.0,195300.0,197460.0,217551.0,214458.0,234145.0,242473.0,267400.0,285676.0,356087.0,51.9470218,6.02303247329986
172,Dussen,111267.0,115058.0,,,,,,,,,,,,,,,,,,,,,,,,,,51.7308649,4.9630508
173,Dwingeloo,106029.0,107556.0,120561.0,,,,,,,,,,,,,,,,,,,,,,,,,52.8333073,6.3669053
174,Echt,91650.0,94830.0,101719.0,118367.0,124468.0,145973.0,171260.0,167991.0,,,,,,,,,,,,,,,,,,,,51.1073016,5.8719765
175,Echt-Susteren,,,,,,,,,180137.0,186292.0,184311.0,194736.0,207326.0,202111.0,185932.0,198541.0,190443.0,191208.0,174337.0,182955.0,177131.0,187880.0,210676.0,225752.0,241334.0,254534.0,286426.0,51.082135199999996,5.899125547533698
176,Echteld,111430.0,114926.0,125141.0,151974.0,169209.0,190236.0,228080.0,,,,,,,,,,,,,,,,,,,,,51.9093134,5.4989961
177,Edam-Volendam,85760.0,98359.0,103925.0,111210.0,135818.0,170400.0,204435.0,196902.0,207513.0,230087.0,253091.0,272181.0,277718.0,337129.0,286721.0,270242.0,273070.0,238205.0,196134.0,218079.0,227861.0,262314.0,281721.0,308703.0,326325.0,353711.0,357430.0,52.54861165,5.026615664206329
178,Ede,111526.0,120831.0,133216.0,153534.0,179304.0,204788.0,207934.0,228359.0,232380.0,233167.0,246740.0,254618.0,274703.0,283215.0,271937.0,265566.0,249686.0,237404.0,222518.0,225311.0,231632.0,246465.0,247766.0,281942.0,302817.0,329976.0,392419.0,52.07168255,5.745510631034939
179,Eelde,103938.0,107956.0,128792.0,,,,,,,,,,,,,,,,,,,,,,,,,53.1346105,6.5633884
180,Eemnes,121550.0,130016.0,153020.0,154088.0,202044.0,247256.0,338615.0,313453.0,279170.0,264441.0,275911.0,352087.0,341957.0,378630.0,371948.0,293493.0,287124.0,290045.0,261624.0,317112.0,305333.0,346441.0,371731.0,398964.0,423048.0,460699.0,504938.0,52.2547415,5.286070995513654
181,Eemsdelta,,,,,,,,,,,,,,,,,,,,,,,,,,,223055.0,53.34781255,6.795656544357541
182,Eemsmond,53025.0,59933.0,64950.0,76290.0,88733.0,95980.0,120814.0,140522.0,140119.0,151714.0,149233.0,160724.0,166727.0,185581.0,163960.0,159205.0,170050.0,149641.0,141202.0,144908.0,158565.0,165969.0,168314.0,176456.0,,,,53.4069735,6.6759347
183,Eersel,119626.0,131397.0,158558.0,172642.0,197891.0,236444.0,270796.0,282300.0,285209.0,297126.0,301908.0,338013.0,343247.0,340647.0,346686.0,324326.0,327081.0,286226.0,267229.0,278325.0,277859.0,280998.0,303937.0,344790.0,322493.0,382850.0,470135.0,51.393329050000006,5.341352630697114
184,Egmond,108133.0,124344.0,131084.0,152654.0,174833.0,218267.0,,,,,,,,,,,,,,,,,,,,,,51.6528177,5.9401049
185,Eibergen,91790.0,99302.0,114215.0,117988.0,144897.0,185023.0,197765.0,211674.0,181189.0,201993.0,,,,,,,,,,,,,,,,,,52.1032685,6.6511683
186,Eijsden,108135.0,134479.0,148193.0,150600.0,174113.0,216969.0,219348.0,241274.0,227135.0,251417.0,255386.0,254817.0,248261.0,255539.0,253151.0,284009.0,,,,,,,,,,,,50.7782686,5.7075337
187,Eijsden-Margraten,,,,,,,,,,,,,,,,,264688.0,221316.0,231290.0,232500.0,238300.0,256480.0,269814.0,295517.0,322239.0,331858.0,386121.0,50.80499415,5.768281669696572
188,Eindhoven,87095.0,99972.0,113902.0,129376.0,151700.0,178190.0,188035.0,200976.0,200507.0,203075.0,211986.0,218448.0,229410.0,240779.0,222666.0,218423.0,215421.0,208218.0,195444.0,206208.0,212919.0,227320.0,258287.0,286088.0,308793.0,344024.0,367046.0,51.4392648,5.478633
189,Elburg,102200.0,111677.0,129524.0,127517.0,175571.0,206520.0,191013.0,210066.0,213739.0,221268.0,223674.0,258746.0,272212.0,262808.0,261500.0,258929.0,230310.0,236298.0,212226.0,232187.0,231145.0,232395.0,265099.0,267712.0,290570.0,297143.0,348909.0,52.415659149999996,5.841321708557087
190,Elst,103977.0,120249.0,140483.0,145237.0,177580.0,210694.0,,,,,,,,,,,,,,,,,,,,,,51.9187914,5.8452555
191,Emmen,74636.0,83434.0,93054.0,100686.0,108330.0,122583.0,133447.0,148534.0,154476.0,157012.0,168827.0,176542.0,187535.0,181218.0,171201.0,173616.0,170985.0,163328.0,154309.0,154291.0,163937.0,171741.0,184750.0,196312.0,205734.0,226483.0,262002.0,52.75286615,6.952513466208563
192,Enkhuizen,78503.0,73759.0,86962.0,96856.0,121107.0,145837.0,165804.0,175358.0,179807.0,184152.0,189402.0,194952.0,207572.0,206671.0,194155.0,194323.0,190933.0,177095.0,169398.0,174217.0,182236.0,199595.0,227100.0,242590.0,242843.0,269123.0,326901.0,52.7036282,5.2901222
193,Enschede,74311.0,81142.0,87987.0,90297.0,106161.0,119080.0,137278.0,146872.0,157615.0,163434.0,166776.0,175148.0,181149.0,183827.0,179685.0,177524.0,168291.0,168652.0,159085.0,163760.0,171755.0,182901.0,202828.0,217820.0,236580.0,250307.0,293302.0,52.2209855,6.8940537
194,Epe,129560.0,137188.0,144234.0,161741.0,204740.0,259459.0,298451.0,290209.0,264225.0,305390.0,309604.0,327065.0,342049.0,309682.0,298552.0,281030.0,288784.0,245069.0,223410.0,253415.0,248385.0,267704.0,301598.0,315587.0,340893.0,383561.0,463628.0,52.3270371,5.9631945020748915
195,Ermelo,120337.0,126721.0,147684.0,163908.0,204687.0,235624.0,259469.0,270774.0,268482.0,291421.0,308476.0,304184.0,309183.0,302549.0,287098.0,320276.0,281714.0,274388.0,246783.0,267052.0,258218.0,293176.0,299821.0,341607.0,338278.0,360055.0,424209.0,52.2858356,5.654938589920705
197,Etten-Leur,105668.0,114682.0,119769.0,132757.0,142633.0,163714.0,186058.0,216599.0,219091.0,212987.0,223696.0,238986.0,258311.0,267002.0,251537.0,247087.0,234897.0,239999.0,215234.0,227560.0,220577.0,245236.0,269692.0,284964.0,300580.0,340667.0,364881.0,51.5692065,4.6360813
198,Ferwerderadeel,52506.0,58746.0,66459.0,70007.0,,,,,,,,,,,,,,,,,,,,,,,,53.3609208,5.849795076446275
199,Ferwerderadiel,,,,,78815.0,93066.0,109727.0,124681.0,132137.0,144413.0,156207.0,163698.0,160773.0,186130.0,162197.0,147850.0,157142.0,154167.0,142780.0,150891.0,146065.0,159043.0,177814.0,166577.0,,,,53.3306784,5.8260129
202,Franekeradeel,59745.0,67775.0,77951.0,82198.0,84439.0,110132.0,125224.0,133497.0,139348.0,162710.0,157881.0,179389.0,164138.0,192386.0,158878.0,182056.0,165388.0,149972.0,140882.0,146869.0,149344.0,161989.0,179650.0,,,,,53.1858022,5.5311309
205,Gasselte,83341.0,85806.0,96627.0,,,,,,,,,,,,,,,,,,,,,,,,,52.971916,6.7921853
206,Geertruidenberg,92103.0,103932.0,122851.0,134576.0,153052.0,177081.0,195956.0,222644.0,215200.0,225435.0,224638.0,240063.0,247997.0,241810.0,225819.0,208870.0,213601.0,217159.0,197320.0,202810.0,208660.0,231595.0,233877.0,258319.0,259361.0,307938.0,352304.0,51.6961662,4.877843805275408
208,Geldermalsen,118207.0,129807.0,145489.0,161313.0,174652.0,214999.0,261524.0,250765.0,254223.0,254850.0,289765.0,290426.0,316439.0,329376.0,325515.0,303398.0,300121.0,296930.0,252729.0,273499.0,267265.0,272297.0,285022.0,322351.0,,,,51.8825577,5.2714789
209,Geldrop,88795.0,100509.0,117515.0,131599.0,156164.0,192616.0,199256.0,209350.0,220552.0,,,,,,,,,,,,,,,,,,,51.4226684,5.5607546
210,Geldrop-Mierlo,,,,,,,,,,229515.0,242353.0,251749.0,270872.0,276427.0,257787.0,261006.0,252609.0,234453.0,215594.0,232741.0,238755.0,243454.0,278384.0,293903.0,298943.0,353700.0,371329.0,51.43182315,5.5918099053219965
211,Geleen,85034.0,96156.0,102320.0,114980.0,126850.0,144264.0,,,,,,,,,,,,,,,,,,,,,,50.9673322,5.8277007
212,Gemert,106585.0,101338.0,,,,,,,,,,,,,,,,,,,,,,,,,,51.5589833,5.6864592
213,Gemert-Bakel,,,130802.0,147853.0,168203.0,198386.0,216471.0,235528.0,254611.0,264329.0,260513.0,263797.0,295184.0,284126.0,282423.0,250745.0,260695.0,251786.0,258225.0,237576.0,249418.0,252443.0,272189.0,297796.0,305286.0,354070.0,397333.0,51.5410462,5.755361244704551
214,Gendringen,91095.0,108513.0,115170.0,123926.0,147641.0,167360.0,208112.0,204722.0,213695.0,211794.0,,,,,,,,,,,,,,,,,,51.8722058,6.3750059
215,Gendt,94960.0,119656.0,133057.0,121156.0,162982.0,193551.0,,,,,,,,,,,,,,,,,,,,,,51.8800155,5.9707861
216,Genemuiden,64380.0,71405.0,85235.0,86164.0,104459.0,126086.0,,,,,,,,,,,,,,,,,,,,,,52.6229099,6.0423473
217,Gennep,99812.0,112494.0,131398.0,154616.0,160541.0,176163.0,222197.0,193080.0,231089.0,224265.0,233217.0,239692.0,247171.0,261961.0,268362.0,227177.0,228314.0,222468.0,191687.0,207167.0,202459.0,209471.0,246870.0,250215.0,270151.0,302087.0,333719.0,51.700959999999995,5.9678631520832495
218,Giessenlanden,83452.0,136741.0,137556.0,134460.0,176919.0,210933.0,210511.0,211707.0,253965.0,252967.0,261471.0,284574.0,328871.0,351334.0,347377.0,323205.0,270526.0,271571.0,291565.0,266653.0,240364.0,272127.0,293859.0,283671.0,,,,51.8663671,4.9903454
219,Gieten,96326.0,104899.0,117904.0,,,,,,,,,,,,,,,,,,,,,,,,,53.0033118,6.7639081
220,Gilze en Rijen,107707.0,123662.0,124995.0,136824.0,150101.0,175828.0,199796.0,222051.0,211757.0,236227.0,247158.0,257800.0,254266.0,260267.0,265917.0,254235.0,237583.0,245050.0,227470.0,216583.0,230286.0,250564.0,256422.0,282359.0,304871.0,334905.0,357378.0,51.56323905,4.913039391005126
221,Goedereede,108324.0,113467.0,138107.0,145574.0,168764.0,182771.0,194486.0,236072.0,236306.0,254199.0,285677.0,309349.0,301084.0,350330.0,302240.0,284900.0,293424.0,267460.0,,,,,,,,,,51.818287,3.9798125
222,Goeree-Overflakkee,,,,,,,,,,,,,,,,,,,222901.0,207568.0,227736.0,223518.0,244507.0,259317.0,274637.0,307985.0,344018.0,51.75128625,4.13576992064659
223,Goes,80794.0,87784.0,93218.0,107778.0,114268.0,140527.0,157133.0,180026.0,191160.0,208982.0,221588.0,231180.0,234925.0,262673.0,224493.0,225860.0,229507.0,214259.0,191719.0,213554.0,209007.0,218354.0,236388.0,239466.0,268724.0,290407.0,319274.0,51.5031033,3.8897596
224,Goirle,114207.0,125484.0,166354.0,147344.0,175761.0,201713.0,228236.0,238754.0,258645.0,269988.0,277226.0,300520.0,307738.0,320266.0,280674.0,281198.0,253693.0,263430.0,255196.0,262237.0,251616.0,264181.0,289077.0,323884.0,339223.0,380762.0,447211.0,51.5056266,5.033774070783131
225,Gooise Meren,,,,,,,,,,,,,,,,,,,,,,414080.0,431409.0,498926.0,510207.0,551008.0,647094.0,52.322224000000006,5.104556785563771
226,Goor,86389.0,108787.0,113418.0,115344.0,136614.0,158234.0,,,,,,,,,,,,,,,,,,,,,,52.2321562,6.5809004
227,Gorinchem,89486.0,99219.0,99270.0,114319.0,136289.0,159488.0,170593.0,197507.0,199615.0,207049.0,215838.0,223055.0,229216.0,247243.0,245963.0,235063.0,224441.0,223261.0,201984.0,205229.0,210947.0,218140.0,221038.0,256468.0,265976.0,299465.0,378024.0,51.8421872,4.974600467260094
228,Gorssel,144097.0,166725.0,189985.0,193907.0,236516.0,301562.0,323500.0,330088.0,289909.0,328942.0,,,,,,,,,,,,,,,,,,52.1996486,6.2002185
229,Gouda,90808.0,96835.0,114234.0,118442.0,138087.0,163068.0,177087.0,185342.0,184288.0,186369.0,193993.0,206255.0,200835.0,208113.0,208479.0,193318.0,195145.0,193920.0,179142.0,175610.0,192073.0,186945.0,207498.0,226719.0,251188.0,278996.0,327961.0,52.018119350000006,4.711122134697802
230,Graafstroom,125191.0,131816.0,168324.0,155417.0,186892.0,210211.0,270535.0,265383.0,302101.0,267590.0,258527.0,330455.0,318370.0,341673.0,309560.0,306403.0,298075.0,268975.0,,,,,,,,,,51.8772693,4.8236991
231,Graft-De Rijp,97064.0,103192.0,122516.0,140467.0,181798.0,176293.0,204580.0,267565.0,259081.0,243827.0,261122.0,265908.0,286776.0,347557.0,296031.0,273661.0,268314.0,260687.0,216042.0,252765.0,,,,,,,,52.5596887,4.8498969
232,Gramsbergen,82291.0,98051.0,99824.0,127612.0,117403.0,163023.0,,,,,,,,,,,,,,,,,,,,,,52.6096404,6.6687883
233,Grave,93333.0,101132.0,119724.0,134549.0,155267.0,183949.0,185962.0,197506.0,218306.0,209944.0,217837.0,246470.0,240687.0,254210.0,252086.0,240218.0,226750.0,210497.0,212666.0,187289.0,203314.0,220686.0,227373.0,249846.0,269827.0,299003.0,329522.0,51.7596504,5.7411125
234,Groenlo,100822.0,99981.0,86444.0,92299.0,124159.0,127197.0,147051.0,149346.0,149916.0,159001.0,200500.0,185392.0,,,,,,,,,,,,,,,,52.0425903,6.6170412
235,Groesbeek,107541.0,121889.0,158060.0,159836.0,181355.0,271383.0,237526.0,258759.0,282826.0,266611.0,264560.0,287174.0,292591.0,328280.0,297110.0,285720.0,306010.0,315838.0,282873.0,244882.0,231622.0,,,,,,,51.7741022,5.9305385
237,Groningen (gemeente),62635.0,69727.0,74094.0,77433.0,84859.0,99943.0,116391.0,127692.0,139806.0,146570.0,164280.0,176792.0,185270.0,182934.0,184709.0,180217.0,182373.0,173646.0,165860.0,170483.0,177441.0,186685.0,206996.0,226280.0,258873.0,278720.0,321804.0,53.0917316,6.907145883349624
238,Grootegast,76677.0,84730.0,87186.0,96684.0,125601.0,121065.0,152448.0,175454.0,159568.0,177483.0,185869.0,222201.0,207980.0,217800.0,201117.0,196103.0,163438.0,198198.0,169205.0,176780.0,174379.0,199591.0,200621.0,222491.0,,,,53.2115071,6.2744862
239,Grubbenvorst,102201.0,114182.0,131765.0,137884.0,141605.0,154702.0,,,,,,,,,,,,,,,,,,,,,,51.4195305,6.1484221
240,Gulpen,104718.0,109361.0,135718.0,161927.0,,,,,,,,,,,,,,,,,,,,,,,,50.8139879,5.8899585
241,Gulpen-Wittem,,,,,171006.0,193324.0,192986.0,213629.0,214675.0,211698.0,214460.0,242552.0,259755.0,254987.0,262145.0,226792.0,215578.0,213858.0,216462.0,200527.0,228371.0,237035.0,261232.0,256479.0,266622.0,294178.0,354940.0,50.79962605,5.890529675273097
242,Haaksbergen,101745.0,93730.0,122635.0,131988.0,153657.0,192519.0,182812.0,191156.0,207216.0,214467.0,229458.0,222416.0,240848.0,251791.0,223994.0,225473.0,229752.0,228728.0,206305.0,219284.0,211798.0,223004.0,244344.0,254562.0,271752.0,306543.0,363530.0,52.16212075,6.775353827101859
243,Haaren,82007.0,155209.0,167973.0,211968.0,219631.0,278230.0,270317.0,335887.0,312913.0,342446.0,373042.0,351334.0,386026.0,422116.0,426483.0,359858.0,338417.0,312461.0,288510.0,292871.0,322255.0,312743.0,345336.0,368874.0,396206.0,427129.0,,51.6036127,5.2272278
244,Haarlem,83039.0,91037.0,97291.0,119392.0,140233.0,163672.0,190388.0,199955.0,203243.0,213760.0,227984.0,243584.0,261016.0,270670.0,266916.0,267413.0,265863.0,252145.0,234272.0,245391.0,268197.0,290367.0,324843.0,383576.0,417583.0,447447.0,507862.0,52.383705750000004,4.643559696559635
246,Haarlemmermeer,109264.0,117478.0,134388.0,142497.0,173690.0,202361.0,218740.0,236471.0,238672.0,249127.0,252605.0,259759.0,289091.0,295233.0,274434.0,270473.0,259999.0,250768.0,240351.0,239844.0,252111.0,276861.0,310708.0,346593.0,372300.0,403265.0,470338.0,52.3003935,4.69861081683757
247,Haelen,99311.0,102015.0,122486.0,132202.0,154285.0,163222.0,184632.0,188721.0,199807.0,193378.0,194937.0,215316.0,,,,,,,,,,,,,,,,51.2365957,5.9541038
248,Halderberge,,,128265.0,134936.0,155166.0,182389.0,189903.0,206404.0,219349.0,233231.0,247370.0,258955.0,273827.0,274927.0,262399.0,269421.0,239583.0,225770.0,192502.0,215699.0,226664.0,236340.0,258813.0,280978.0,304176.0,316915.0,353175.0,51.58976405,4.513483321011281
249,Halsteren,95885.0,102331.0,,,,,,,,,,,,,,,,,,,,,,,,,,51.5230234,4.2729507
250,Hardenberg,82666.0,98243.0,107286.0,106735.0,141271.0,159893.0,176531.0,171850.0,176688.0,199763.0,203574.0,190525.0,199710.0,217521.0,206173.0,202037.0,208889.0,198829.0,190487.0,198362.0,192597.0,211334.0,218144.0,230199.0,248364.0,270151.0,303203.0,52.56982145,6.633166913313982
251,Harderwijk,98561.0,112507.0,119104.0,130807.0,166049.0,185752.0,202273.0,221415.0,218333.0,217469.0,245397.0,245398.0,258628.0,279483.0,244035.0,251015.0,240148.0,240096.0,233894.0,231130.0,238579.0,255649.0,271810.0,289462.0,321594.0,338710.0,369508.0,52.33599915,5.640271521392062
